ID_UOP;FRIOS;SECOS;TOTAL;FECHA
111;0;2;2;2018-03-14
146;9;13.25;22.25;2018-03-14
147;6;13;19;2018-03-14
150;8;9.25;17.25;2018-03-14
151;9;12.25;21.25;2018-03-14
162;6;13.25;19.25;2018-03-14
243;5;12;17;2018-03-14
245;15;22.25;37.25;2018-03-14
252;0;2;2;2018-03-14
253;9;18;27;2018-03-14
256;7;13.25;20.25;2018-03-14
257;7;20;27;2018-03-14
320;16;7;23;2018-03-14
322;0;4;4;2018-03-14
323;10;12;22;2018-03-14
328;12;18;30;2018-03-14
329;0;2;2;2018-03-14
333;10;14;24;2018-03-14
336;9;11;20;2018-03-14
337;10;12;22;2018-03-14
338;12;7.25;19.25;2018-03-14
341;6;9.25;15.25;2018-03-14
343;9;15;24;2018-03-14
344;5;7;12;2018-03-14
350;9;13;22;2018-03-14
351;10;13;23;2018-03-14
356;6;9.25;15.25;2018-03-14
358;20;4;24;2018-03-14
360;4;6.5;10.5;2018-03-14
361;8;9.25;17.25;2018-03-14
441;12;11.25;23.25;2018-03-14
442;9;15;24;2018-03-14
443;9;13;22;2018-03-14
446;11;17;28;2018-03-14
448;8;13;21;2018-03-14
452;7;14.25;21.25;2018-03-14
453;8;17;25;2018-03-14
455;12;10;22;2018-03-14
456;9;17.25;26.25;2018-03-14
542;6;13;19;2018-03-14
543;0;25;25;2018-03-14
544;8;14.25;22.25;2018-03-14
545;9;8.25;17.25;2018-03-14
550;12;17;29;2018-03-14
552;13;12;25;2018-03-14
721;25;5;30;2018-03-14
731;24;19;43;2018-03-14
733;21;7;28;2018-03-14
734;24;20;44;2018-03-14
735;22;19;41;2018-03-14
736;9;14;23;2018-03-14
781;24;19;43;2018-03-14
803;11;17;28;2018-03-14
805;12;14;26;2018-03-14
806;3;3;6;2018-03-14
841;0;2;2;2018-03-14
845;10;13.25;23.25;2018-03-14
